clue,category,fodder,length,definition,candidate,similarity_to_definition
Giant tortoise is tracked around narrow openings,selector,tortoise is tracked around narrow,5,giant,torts,-0.1466299295425415
Eye rolling feels good occasionally,selector,feels good,4,eye,feel,0.5498745441436768
Eye rolling feels good occasionally,selector,feels good,4,eye,ogle,-0.2617073357105255
Eye rolling feels good occasionally,selector,feels good,4,eye,dodo,0.05423353239893913
Eye rolling feels good occasionally,selector,feels good,4,eye,slee,0.11026975512504578
Eye rolling feels good occasionally,selector,feels good,4,eye,gogo,-0.08437681943178177
Eye rolling feels good occasionally,selector,feels good,4,eye,good,0.588071346282959
Eye rolling feels good occasionally,selector,feels good,4,eye,eels,0.10287950187921524
I love doing gymnastics with this extremely springy bunch?,anagram,i love,7,springy bunch,,0.0
Cold guys heartlessly shun quirky women,anagram,women,7,cold guys,,0.0
Edison half screwed a lightbulb?,anagram,edi,4,lightbulb,[too many: 49 candidates],0.0
Nineties freestyle icon known for his energetic MC work?,anagram,nineties,8,energetic MC work,einstein,0.27088871598243713
Flat crustless half-size loaf,selector,flat size,4,loaf,isis,-0.17572642862796783
Flat crustless half-size loaf,selector,flat size,4,loaf,stal,0.16554158926010132
Flat crustless half-size loaf,selector,flat size,4,loaf,flat,0.45974114537239075
Flat crustless half-size loaf,selector,flat size,4,loaf,tata,0.07243078202009201
Flat crustless half-size loaf,selector,flat size,4,loaf,sisi,-0.12166953831911087
Flat crustless half-size loaf,selector,flat size,4,loaf,size,0.2269330769777298
Flat crustless half-size loaf,selector,flat size,4,loaf,lats,0.30488321185112
Business disinfected casino to conceal triple murder perhaps?,hidden,Business disinfected casino,3,murder perhaps,[too many: 38 candidates],0.0
Business disinfected casino to conceal triple murder perhaps?,selector,Business disinfected casino,3,murder perhaps,[too many: 49 candidates],0.0
Please... shaken not stirred,anagram,please,6,not stirred,asleep,0.340896874666214
Please... shaken not stirred,anagram,please,6,not stirred,elapse,0.0004894411540590227
Humans maybe evolved armpits to conserve energy,anagram,armpits,8,humans maybe,,0.0
